L4 | Sun Jul 13 19:31:59 2025 (919 ms) | general | New game starting up
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_handwriting_32_32.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_32_32.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (831 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_erased_32_32.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (854 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (854 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (855 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (856 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (856 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (856 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (857 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (857 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (857 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (858 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (858 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (996 ms) | general | CRITICAL ERROR:  TGA file graphics/guiPanel.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (996 ms) | general | CRITICAL ERROR:  TGA file graphics/guiBlood.tga does not exist
L1 | Sun Jul 13 19:32:01 2025 (996 ms) | general | CRITICAL ERROR:  TGA file graphics/notePaper.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/cellBorder.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/cellFill.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/hintArrow.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/homeSlip.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/homeSlip2.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/chalkBlot.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/pathMark.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip1.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip2.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip3.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip4.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t0.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t1.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t2.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (5 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t3.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/fullSlip.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/hungrySlip.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/starvingSlip.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet1.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet2.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet3.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (8 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet4.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxes.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxFills.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxesErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxFillsErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/tempArrows.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/tempArrowsErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerDashes.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerDashesErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBars.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBarsErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/homeArrows.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/homeArrowsErased.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay1.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay2.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay3.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (9 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay4.tga does not exist
L1 | Sun Jul 13 19:32:02 2025 (13 ms) | general | CRITICAL ERROR:  TGA file graphics/photoBorder.tga does not exist
L4 | Sun Jul 13 19:41:22 2025 (772 ms) | general | New game starting up
L4 | Sun Jul 13 19:41:22 2025 (772 ms) | general | Target game image size:  1280x720

L4 | Sun Jul 13 19:41:22 2025 (772 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Jul 13 19:41:22 2025 (773 ms) | general | Trying to start in window mode.
L4 | Sun Jul 13 19:41:22 2025 (773 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Jul 13 19:41:22 2025 (773 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Jul 13 19:41:22 2025 (773 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | The following frame rates are considered possible:
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 30 fps
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 60 fps
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 100 fps
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 120 fps
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 144 fps
L4 | Sun Jul 13 19:41:22 2025 (774 ms) | general | 165 fps
L4 | Sun Jul 13 19:41:22 2025 (779 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Sun Jul 13 19:41:22 2025 (780 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Jul 13 19:41:22 2025 (780 ms) | general | All resolutions available
L4 | Sun Jul 13 19:41:23 2025 (65 ms) | general | ScreenGL gave us 1280x720, 60 fps
L4 | Sun Jul 13 19:41:23 2025 (66 ms) | general | Setting non-integer-scaled screen image size of 1280x720
L4 | Sun Jul 13 19:41:23 2025 (343 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L1 | Sun Jul 13 19:41:23 2025 (343 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L4 | Sun Jul 13 19:41:23 2025 (343 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:41:23 2025 (343 ms) | general | setLetterbox called with 1280.000000x720.000000
L1 | Sun Jul 13 19:41:23 2025 (443 ms) | general | CRITICAL ERROR:  TGA file graphics/instructions.tga does not exist
L4 | Sun Jul 13 19:41:23 2025 (445 ms) | general | OneLife client v430 (binV=430, dataV=429) starting up
L4 | Sun Jul 13 19:41:23 2025 (445 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:41:23 2025 (445 ms) | general | setLetterbox called with 1280.000000x720.000000
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_handwriting_32_32.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_32_32.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (445 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_erased_32_32.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (452 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (452 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (454 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (455 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (455 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (456 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (457 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (457 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (458 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (458 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:23 2025 (458 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/guiPanel.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/guiBlood.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/notePaper.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/cellBorder.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/cellFill.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/hintArrow.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/homeSlip.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/homeSlip2.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/chalkBlot.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/pathMark.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (870 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (871 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip1.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (871 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip2.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (871 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip3.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (871 ms) | general | CRITICAL ERROR:  TGA file graphics/yumSlip4.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (872 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t0.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (872 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t1.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (872 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t2.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (872 ms) | general | CRITICAL ERROR:  TGA file graphics/ground_t3.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/fullSlip.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/hungrySlip.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/starvingSlip.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet1.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet2.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet3.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (875 ms) | general | CRITICAL ERROR:  TGA file graphics/hintSheet4.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxes.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxFills.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxesErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBoxFillsErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/tempArrows.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/tempArrowsErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerDashes.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerDashesErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBars.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/hungerBarsErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/homeArrows.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/homeArrowsErased.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay1.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay2.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay3.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (876 ms) | general | CRITICAL ERROR:  TGA file graphics/photoDisplay4.tga does not exist
L1 | Sun Jul 13 19:41:35 2025 (891 ms) | general | CRITICAL ERROR:  TGA file graphics/photoBorder.tga does not exist
L4 | Sun Jul 13 19:42:32 2025 (577 ms) | general | New game starting up
L4 | Sun Jul 13 19:42:32 2025 (577 ms) | general | Target game image size:  1280x720

L4 | Sun Jul 13 19:42:32 2025 (577 ms) | general | Ideal window dimensions:  1280x720

L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | Trying to start in window mode.
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | Want to use largest window that fits on screen.
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | Largest-window mode would offer a <25width increase, using requested window size instead.
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | The following frame rates are considered possible:
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 30 fps
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 60 fps
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 100 fps
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 120 fps
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 144 fps
L4 | Sun Jul 13 19:42:32 2025 (578 ms) | general | 165 fps
L4 | Sun Jul 13 19:42:32 2025 (580 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Sun Jul 13 19:42:32 2025 (580 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sun Jul 13 19:42:32 2025 (580 ms) | general | All resolutions available
L4 | Sun Jul 13 19:42:32 2025 (667 ms) | general | ScreenGL gave us 1280x720, 60 fps
L4 | Sun Jul 13 19:42:32 2025 (668 ms) | general | Setting non-integer-scaled screen image size of 1280x720
L4 | Sun Jul 13 19:42:32 2025 (737 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L1 | Sun Jul 13 19:42:32 2025 (737 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L4 | Sun Jul 13 19:42:32 2025 (737 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:42:32 2025 (737 ms) | general | setLetterbox called with 1280.000000x720.000000
L1 | Sun Jul 13 19:42:32 2025 (826 ms) | general | CRITICAL ERROR:  TGA file graphics/instructions.tga does not exist
L4 | Sun Jul 13 19:42:32 2025 (828 ms) | general | OneLife client v430 (binV=430, dataV=429) starting up
L4 | Sun Jul 13 19:42:32 2025 (828 ms) | general | setViewSize called with 1280.000000
L4 | Sun Jul 13 19:42:32 2025 (828 ms) | general | setLetterbox called with 1280.000000x720.000000
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_32_64.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_handwriting_32_32.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_32_32.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (828 ms) | general | CRITICAL ERROR:  TGA file graphics/font_pencil_erased_32_32.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (832 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (832 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (833 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (833 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (834 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (834 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
L1 | Sun Jul 13 19:42:32 2025 (834 ms) | general | CRITICAL ERROR:  TGA file graphics/hiddenFieldTexture.tga does not exist
